hotel,fecha_entrada,fecha_salida,precio,estado,url
Hotel Riu Papayas - All Inclusive,2025-03-01,2025-03-07,Error de extracción - Ver sitio web,Disponible,https://www.booking.com/hotel/es/riu-papayas.es.html?checkin=2025-03-01&checkout=2025-03-07&group_adults=2&no_rooms=1&group_children=0
Hotel Riu Papayas - All Inclusive,2025-03-07,2025-03-13,€ 1.805,Disponible,https://www.booking.com/hotel/es/riu-papayas.es.html?checkin=2025-03-07&checkout=2025-03-13&group_adults=2&no_rooms=1&group_children=0
Hotel Riu Papayas - All Inclusive,2025-03-13,2025-03-19,€ 1.805,Disponible,https://www.booking.com/hotel/es/riu-papayas.es.html?checkin=2025-03-13&checkout=2025-03-19&group_adults=2&no_rooms=1&group_children=0
Hotel Riu Papayas - All Inclusive,2025-03-19,2025-03-25,€ 1.805,Disponible,https://www.booking.com/hotel/es/riu-papayas.es.html?checkin=2025-03-19&checkout=2025-03-25&group_adults=2&no_rooms=1&group_children=0
Hotel Riu Papayas - All Inclusive,2025-03-25,2025-03-31,€ 1.532,Disponible,https://www.booking.com/hotel/es/riu-papayas.es.html?checkin=2025-03-25&checkout=2025-03-31&group_adults=2&no_rooms=1&group_children=0
Hotel Riu Papayas - All Inclusive,2025-03-31,2025-04-06,€ 1.447,Disponible,https://www.booking.com/hotel/es/riu-papayas.es.html?checkin=2025-03-31&checkout=2025-04-06&group_adults=2&no_rooms=1&group_children=0
Hotel Riu Papayas - All Inclusive,2025-04-06,2025-04-12,€ 1.461,Disponible,https://www.booking.com/hotel/es/riu-papayas.es.html?checkin=2025-04-06&checkout=2025-04-12&group_adults=2&no_rooms=1&group_children=0
Hotel Riu Papayas - All Inclusive,2025-04-12,2025-04-18,€ 1.547,Disponible,https://www.booking.com/hotel/es/riu-papayas.es.html?checkin=2025-04-12&checkout=2025-04-18&group_adults=2&no_rooms=1&group_children=0
Hotel Riu Papayas - All Inclusive,2025-04-18,2025-04-24,€ 1.466,Disponible,https://www.booking.com/hotel/es/riu-papayas.es.html?checkin=2025-04-18&checkout=2025-04-24&group_adults=2&no_rooms=1&group_children=0
Hotel Riu Papayas - All Inclusive,2025-04-24,2025-04-30,€ 1.385,Disponible,https://www.booking.com/hotel/es/riu-papayas.es.html?checkin=2025-04-24&checkout=2025-04-30&group_adults=2&no_rooms=1&group_children=0
Hotel Riu Papayas - All Inclusive,2025-04-30,2025-05-06,€ 1.149,Disponible,https://www.booking.com/hotel/es/riu-papayas.es.html?checkin=2025-04-30&checkout=2025-05-06&group_adults=2&no_rooms=1&group_children=0
Hotel Riu Papayas - All Inclusive,2025-05-06,2025-05-12,€ 1.224,Disponible,https://www.booking.com/hotel/es/riu-papayas.es.html?checkin=2025-05-06&checkout=2025-05-12&group_adults=2&no_rooms=1&group_children=0
Hotel Riu Papayas - All Inclusive,2025-05-12,2025-05-18,€ 1.102,Disponible,https://www.booking.com/hotel/es/riu-papayas.es.html?checkin=2025-05-12&checkout=2025-05-18&group_adults=2&no_rooms=1&group_children=0
Hotel Riu Papayas - All Inclusive,2025-05-18,2025-05-24,€ 1.102,Disponible,https://www.booking.com/hotel/es/riu-papayas.es.html?checkin=2025-05-18&checkout=2025-05-24&group_adults=2&no_rooms=1&group_children=0
Hotel Riu Papayas - All Inclusive,2025-05-24,2025-05-30,€ 1.102,Disponible,https://www.booking.com/hotel/es/riu-papayas.es.html?checkin=2025-05-24&checkout=2025-05-30&group_adults=2&no_rooms=1&group_children=0
Hotel Riu Papayas - All Inclusive,2025-05-30,2025-06-05,€ 1.116,Disponible,https://www.booking.com/hotel/es/riu-papayas.es.html?checkin=2025-05-30&checkout=2025-06-05&group_adults=2&no_rooms=1&group_children=0
Hotel Riu Papayas - All Inclusive,2025-06-05,2025-06-11,€ 1.186,Disponible,https://www.booking.com/hotel/es/riu-papayas.es.html?checkin=2025-06-05&checkout=2025-06-11&group_adults=2&no_rooms=1&group_children=0
Hotel Riu Papayas - All Inclusive,2025-06-11,2025-06-17,€ 1.248,Disponible,https://www.booking.com/hotel/es/riu-papayas.es.html?checkin=2025-06-11&checkout=2025-06-17&group_adults=2&no_rooms=1&group_children=0
Hotel Riu Papayas - All Inclusive,2025-06-17,2025-06-23,€ 1.248,Disponible,https://www.booking.com/hotel/es/riu-papayas.es.html?checkin=2025-06-17&checkout=2025-06-23&group_adults=2&no_rooms=1&group_children=0
Hotel Riu Papayas - All Inclusive,2025-06-23,2025-06-29,€ 1.248,Disponible,https://www.booking.com/hotel/es/riu-papayas.es.html?checkin=2025-06-23&checkout=2025-06-29&group_adults=2&no_rooms=1&group_children=0
